Name,Publishers,Developers,Description,Price,Release Date,Tags
Dark Hours,Piece of Cake studios;Kepler Ghost,Piece of Cake studios,"Dark Hours is a co-op survival horror game for up to 4 players. Your heist has been disrupted by a supernatural event, and your team of robbers is now trapped with an evil entity. Forget your plan, your mission is to survive. Explore and cooperate to find a way out or hide and wish for daylight.",$9.99,"Oct 24, 2024","Early Access,Horror,Heist,Multiplayer,Online Co-Op,Funny,Survival Horror,Co-op,Survival,Team-Based,Psychological Horror,Atmospheric,Procedural Generation,Dark,Mystery,Supernatural,PvE,Stealth,Action,Exploration"
World War Z,Saber Interactive Inc,Saber Interactive Inc,"World War Z is a heart-pounding coop third-person shooter for up to 4 players featuring massive swarms of hundreds of zombies, focused on fast-paced, gruesomely spectacular action.",$29.99,"Sep 21, 2021","Zombies,Multiplayer,Online Co-Op,Action,Co-op,Singleplayer,Shooter,Third-Person Shooter,PvE,Survival Horror,FPS,Gore,Post-apocalyptic,Gun Customization,Character Customization,First-Person,Violent,Third Person,Horror,Combat"
Old School RuneScape,Jagex Ltd,Jagex Ltd,"The best retro fantasy MMORPG on the planet. Old School is RuneScape but… older! This is the open world you know and love, but as it was in 2007. Saying that, it’s even better than that – Old School is shaped by you, its players, with regular new content, fixes and expansions voted for by the fans!",$0.00,"Feb 22, 2013","MMORPG,$0.00,Nostalgia,Adventure,Fantasy,Story Rich,Massively Multiplayer,RPG,Multiplayer,Character Customization,Third Person,PvE,Open World,Old School,PvP,Great Soundtrack,Classic,Exploration,Cult Classic,Lore-Rich"
Tony Hawk's™ Pro Skater™ 1 + 2,Activision,Vicarious Visions;Iron Galaxy Studios,"Play the fully-remastered Tony Hawk’s™ Pro Skater™ & Tony Hawk’s™ Pro Skater™ 2 games in one epic collection, rebuilt from the ground up in incredible HD.",$39.99,"Oct 3, 2023","Sports,Skateboarding,Multiplayer,Singleplayer,Arcade,Co-op,Character Customization,Third Person,3D,Soundtrack,Music,Remake,Great Soundtrack"
MechWarrior 5: Mercenaries,Piranha Games Inc.,Piranha Games Inc.,The year is 3015. The battlefields are dominated by war machines known as BattleMechs. Level entire cities and decimate the enemy in your BattleMech. Follow a quest for glory and revenge. Manage an expanding mercenary company. Fight alongside your friends with a four-player PvE co-op.,$29.99,"May 26, 2021","Mechs,Simulation,FPS,Action,Co-op,Shooter,Vehicular Combat,First-Person,Moddable,Destruction,3D,Singleplayer,Online Co-Op,Combat,Futuristic,Tutorial,Economy,Management,PvE,Resource Management"
Subnautica: Below Zero,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Dive into a freezing underwater adventure on an alien planet. Below Zero is set two years after the original Subnautica. Return to Planet 4546B to uncover the truth behind a deadly cover-up. Survive by building habitats, crafting tools, & diving deeper into the world of Subnautica.",$29.99,"May 14, 2021","Open World Survival Craft,Survival,Underwater,Singleplayer,Open World,Horror,Exploration,Base Building,Indie,Adventure,Crafting,Multiplayer,First-Person,Survival Horror,Sci-fi,Aliens,Action,Story Rich,Atmospheric,Sandbox"
The Escapists 2,Team17,Team17;Mouldy Toof Studios,"Craft, Steal, Brawl and Escape! It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2, now with multiplayer! Have you got what it takes to escape?",$19.99,"Aug 21, 2017","Multiplayer,Strategy,Pixel Graphics,Online Co-Op,Co-op,2D,Crafting,Local Co-Op,Simulation,Singleplayer,Indie,Sandbox,Stealth,Character Customization,Funny,Puzzle,Split Screen,Open World,Action,Difficult"
ENDER MAGNOLIA: Bloom in the Mist,Binary Haze Interactive,Adglobe;Live Wire,"Decades after the events of ENDER LILIES, Homunculi — sorrowful, artificial life forms — roam the land. In this dark fantasy Metroidvania, face formidable enemies and explore a bewitching post-apocalyptic world. Humans and Homunculi — what awaits at the end of the quest for their salvation?",$24.99,"Jan 22, 2025","Metroidvania,2D,Dark Fantasy,Singleplayer,Action RPG,RPG,Female Protagonist,Action,Souls-like,Great Soundtrack,Anime,Fantasy,Medieval,Atmospheric,Story Rich,Cute,Side Scroller,Platformer,Early Access,Difficult"
Train Simulator Classic 2024,Dovetail Games - Trains;Dovetail Games,Dovetail Games,Celebrate 15 years of the ultimate railway hobby! Learn to operate officially licensed locomotives from historic steam to modern day electrics and explore realistic detailed routes from around the world. Train Simulator Classic 2024 is the simulation made by railfans for railfans.,$29.99,"Jul 12, 2009","Simulation,Trains,Singleplayer,Driving,Realistic,Casual,Relaxing,Open World,Building,Moddable,Level Editor,Sandbox,TrackIR,Atmospheric,Transportation,Action,Adventure,VR,City Builder,Strategy"
Barotrauma,Daedalic Entertainment,FakeFish;Undertow Games,"Barotrauma is a 2D co-op submarine simulator – in space, with survival horror and RPG elements. Steer your submarine, complete missions, fight monsters, fix leaks, operate machinery, man the guns and craft items, and stay alert: danger in Barotrauma doesn’t announce itself!",$34.99,"Mar 13, 2023","Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Horror,Underwater,Sci-fi,Simulation,Management,Strategy,Action,Moddable,Difficult,Gore,Violent,Singleplayer,Naval,Early Access"
EA SPORTS FC™ 24,Electronic Arts,EA Canada;EA Romania,"EA SPORTS FC™ 24 welcomes you to The World’s Game: the most true-to-football experience ever with HyperMotionV, PlayStyles optimised by Opta, and an enhanced Frostbite™ Engine.",$69.99,"Sep 29, 2023","Football (Soccer),Sports,Controller,Multiplayer,PvP,eSports,Competitive,PvE,Local Multiplayer,3D,Simulation,Online Co-Op,Singleplayer,Realistic,Local Co-Op,Co-op,Family Friendly,Action,First-Person,Early Access"
RoadCraft,Focus Entertainment,Saber Interactive,"As the leader of a company specialized in restoring sites devastated by natural disasters, use your construction machinery to restart the local industry. Clear debris and faulty equipment, rebuild roads and bridges damaged by weather, and much more!",$39.99,"May 20, 2025","Simulation,Building,Driving,Adventure,Physics,Automation,Online Co-Op,Automobile Sim,Nature,Exploration,Destruction,Immersive Sim,Transportation,Co-op,Multiplayer,3D,Realistic,Modern,Base Building,Controller"
Sun Haven,Pixel Sprout Studios,Pixel Sprout Studios,"Build your farm and relationships with townsfolk, or forge ahead on a quest of magic, monsters, and dragons. Level up through a skill tree in 8 person multiplayer, or adventure solo!",$24.99,"Mar 10, 2023","Farming Sim,Pixel Graphics,Multiplayer,Life Sim,RPG,Dating Sim,Character Customization,Relaxing,Adventure,Crafting,Fantasy,Agriculture,Singleplayer,Magic,Simulation,Exploration,Mining,Combat,Fishing,Cooking"
Cataclismo,Hooded Horse,Digital Sun,"Design and build fortresses brick by brick to stand against endless hordes of Horrors in this real-time strategy game with resource management, siege defense, and exploration. Lead from the ramparts, push back the darkness, and hold fast against the creatures of the Mist.",$29.99,"Mar 20, 2025","Strategy,Base Building,Simulation,RTS,City Builder,Grand Strategy,Building,Tactical,Sandbox,Management,Moddable,Historical,Open World,4X,Singleplayer,War,Resource Management,Economy,Replay Value,Real-Time with Pause"
ATLYSS,KisSoft,Kiseff,"Enter the world of ATLYSS, a Singleplayer/Online RPG where you can fight with or against friends in a surreal world filled with creatures beyond comprehension. Customize and progress your character(s), complete quests, and discover strange locations.",$9.99,"Nov 22, 2024","RPG,Action RPG,Cute,Adventure,Action,Character Customization,Sexual Content,3D Platformer,3D,Stylized,Fantasy,1990's,Atmospheric,Multiplayer,PvE,Combat,Surreal,Singleplayer,Early Access,PvP"
RAID: Shadow Legends,Plarium Global Ltd,Plarium Global Ltd,RAID: Shadow Legends is a free-to-play collection RPG with 800+ playable Champions and 8 game modes. Heed the Arbiter's call and defend the dark fantasy world of Teleria.,$0.00,"Jan 9, 2024","RPG,Turn-Based Combat,Loot,Dark Fantasy,Party-Based RPG,Isometric,PvE,PvP,Asynchronous Multiplayer,Turn-Based Strategy,Tactical RPG,3D,Multiplayer,Fantasy,Singleplayer,Mythology,Creature Collector,Dragons,$0.00,Demons"
Sid Meier's Civilization® V,2K;Aspyr (Mac);Aspyr (Linux),Firaxis Games;Aspyr (Mac);Aspyr (Linux),"Create, discover, and download new player-created maps, scenarios, interfaces, and more!",$29.99,"Sep 21, 2010","Turn-Based Strategy,Strategy,Turn-Based,Multiplayer,Historical,4X,Addictive,Singleplayer,Hex Grid,Grand Strategy,Replay Value,Co-op,Economy,Tactical,Diplomacy,Moddable,Simulation,Classic,Great Soundtrack,Touch-Friendly"
Sea Power : Naval Combat in the Missile Age,MicroProse Software,Triassic Games AB,"From the lead designer of Cold Waters, Sea Power lets you control NATO and Warsaw Pact forces in modern naval conflict campaigns. Use your advanced naval weaponry and sensors to respect rules of engagement and defeat the enemy forces in a tense fight for initiative and air/naval supremacy.",$49.99,"Nov 12, 2024","Naval Combat,Strategy,Simulation,Cold War,Real Time Tactics,Military,Singleplayer,Naval,Real-Time,War,Action,Realistic,RTS,Indie,Early Access,Multiplayer"
Ratchet & Clank: Rift Apart,PlayStation Publishing LLC,Insomniac Games;Nixxes Software,Blast your way through an interdimensional adventure with Ratchet and Clank – now on PC! Help them take on an evil emperor from another reality as you jump between action-packed worlds and beyond at hyper-speed!,$59.99,"Jul 26, 2023","Adventure,3D Platformer,Singleplayer,Action-Adventure,Third Person,Family Friendly,Action,Third-Person Shooter,Sci-fi,Platformer,Funny,Shooter,Cartoony,Story Rich,Cute,Colorful,Open World,Female Protagonist,Co-op,Space"
"Warhammer 40,000: Battlesector",Slitherine Ltd.,Slitherine Ltd.,"Warhammer 40,000: Battlesector is a fast-paced turn-based strategy game set in the grimdark universe of the 41st Millennium. Pick your force, develop your army, field mighty heroes and fight for victory using superior strategy, awesome abilities, and devastating weaponry.",$39.99,"Jul 22, 2021","Strategy,Warhammer 40K,Turn-Based Tactics,Turn-Based Strategy,3D,Sci-fi,Isometric,Tactical,Turn-Based Combat,Singleplayer,PvP,Multiplayer,Asynchronous Multiplayer,Combat,Violent,War,Turn-Based,Space,Replay Value,Games Workshop"
Yu-Gi-Oh! EARLY DAYS COLLECTION,KONAMI,Digital Eclipse,Yu-Gi-Oh! EARLY DAYS COLLECTION is packed with classic Yu-Gi-Oh! games from the very early days of Dueling — bursting with retro RPGs and strategic card games with beloved anime characters!,$49.99,"Feb 27, 2025","Strategy,RPG,Card Game,Simulation,Retro,Card Battler,Anime,Trading Card Game,Singleplayer,Deckbuilding,Violent,Multiplayer,PvP,Classic"
WolfQuest: Anniversary Edition,eduweb,eduweb,Live the life of a wild wolf in a realistic ecological simulation set in Yellowstone National Park.,$19.99,"Jul 25, 2019","Early Access,Life Sim,Survival,Multiplayer,Open World,Nature,Co-op,Online Co-Op,PvE,RPG,Realistic,Hunting,Education,Exploration,Simulation,Singleplayer,Action,Immersive Sim,Action RPG,Action-Adventure"
Distant Worlds 2,Slitherine Ltd.,CodeForce,"Distant Worlds 2 is a vast, pausable real-time 4X space strategy game.",$49.99,"Mar 10, 2022","Strategy,Simulation,4X,Grand Strategy,Sci-fi,Space,3D,Singleplayer,Procedural Generation,Combat,Early Access,Real-Time with Pause"
Titanfall® 2,Electronic Arts,Respawn Entertainment,"Respawn Entertainment gives you the most advanced titan technology in its new, single player campaign & multiplayer experience. Combine & conquer with new titans & pilots, deadlier weapons, & customization and progression systems that help you and your titan flow as one unstoppable killing force.",$29.99,"Oct 28, 2016","FPS,Mechs,Multiplayer,Shooter,Singleplayer,Action,Parkour,Sci-fi,First-Person,Futuristic,PvP,Combat,Military,Fast-Paced,Team-Based,Time Travel,Hero Shooter,Violent,Co-op,Gore"
ROUNDS,Landfall,Landfall,Rounds is a 1v1 rogue-lite shooter where each round gets more intense. The losing player of each round unlocks clever upgrades to create a better build to counter their opponent.,$5.99,"Apr 1, 2021","Multiplayer,Fighting,Local Multiplayer,2D Fighter,Deckbuilding,Roguelite,Action,Indie,Physics,Card Battler,PvP,2D,Roguelike Deckbuilder,Card Game,Platformer,Party Game,2D Platformer,Side Scroller,Arcade,Twin Stick Shooter"
Solasta: Crown of the Magister,Tactical Adventures,Tactical Adventures,"Roll for initiative, take attacks of opportunity, manage player location and the verticality of the battle field in this Turn-Based Tactical RPG based on the SRD 5.1 Ruleset. In Solasta, you make the choices, dice decide your destiny.",$29.99,"May 27, 2021","RPG,Co-op Campaign,Multiplayer,Character Customization,Turn-Based Combat,Choices Matter,Dungeons & Dragons,CRPG,Story Rich,Fantasy,Adventure,Strategy RPG,Strategy,Combat,Singleplayer,Class-Based,Controller,Party-Based RPG,Team-Based,Online Co-Op"
Granblue Fantasy: Relink,"Cygames, Inc.","Cygames, Inc.",A grand adventure in the skies awaits! Form a party of four from a diverse roster of skyfarers and slash—or shoot or hex—your way to victory against treacherous foes in this action RPG. Take on quests solo or with the help of others in up to 4-player co-op play!,$59.99,"Jan 31, 2024","Anime,JRPG,Action RPG,Action,Online Co-Op,Multiplayer,Fantasy,RPG,Female Protagonist,Third Person,Singleplayer,Spectacle fighter,3D,Hack and Slash,Controller,Magic,Swordplay,PvE,Dragons,Tutorial"
Thronefall,GrizzlyGames,GrizzlyGames,A minimalist game about building and defending your little kingdom.,$12.99,"Oct 11, 2024","Tower Defense,Strategy,City Builder,Minimalist,Medieval,Action,Action RTS,3D,Building,Colorful,Base Building,Isometric,Stylized,Fantasy,Combat,Singleplayer,Indie,Controller,Hack and Slash,Early Access"
Magicraft,bilibili,波浪游戏 (Wave Game),"""Magicraft"" is a Roguelike game that uses a variety of spells to match unimaginable spell effects, and the construction of ultra-high degrees of freedom cannot even be exhausted by developers.",$15.99,"Nov 1, 2024","Action Roguelike,Roguelite,Looter Shooter,Bullet Hell,Roguelike,Strategy RPG,RPG,Top-Down,Deckbuilding,Procedural Generation,Action,Magic,Lovecraftian,Crafting,Adventure,Singleplayer,Indie,Addictive,Early Access,Co-op"
Luma Island,Feel Free Games,Feel Free Games,"Travel to Luma Island to go on an epic adventure by yourself or with your friends and family. Build your dream farm, master professions, collect magical Lumas, find treasures and unravel the mysteries of the island.",$19.99,"Nov 20, 2024","Adventure,Farming Sim,Crafting,Exploration,Open World,RPG,Simulation,Co-op,Mining,Online Co-Op,Fishing,Multiplayer,Building,Casual,Character Customization,Fantasy,Agriculture,Singleplayer,Cute,Farming"
ANIMAL WELL,Bigmode,Billy Basso,"Explore a dense, interconnected labyrinth, and unravel its many secrets. Collect items to manipulate your environment in surprising and meaningful ways. Encounter beautiful and unsettling creatures, as you attempt to survive what lurks in the dark. There is more than what you see.",$24.99,"May 9, 2024","Metroidvania,Exploration,Puzzle,Puzzle Platformer,Pixel Graphics,Horror,Platformer,2D,Atmospheric,Adventure,Mystery,Action,Indie,Surreal,Nonlinear,Relaxing,Cute,Singleplayer,Retro,Controller"
State of Decay 2: Juggernaut Edition,Xbox Game Studios,Undead Labs,"The dead have risen and civilization has fallen. Now it's up to you to gather survivors, scavenge for resources and build a community in a post-apocalyptic world – a world where you define what it means to survive in this ultimate zombie survival simulation.",$29.99,"Mar 13, 2020","Survival,Open World,Zombies,Base Building,Multiplayer,Co-op,Online Co-Op,Post-apocalyptic,Simulation,Action,RPG,Sandbox,Third Person,Singleplayer,Gore,Horror,Perma Death,Violent,Replay Value,Atmospheric"
Liftoff®: FPV Drone Racing,LuGus Studios,LuGus Studios,Liftoff® is a drone simulator that translates the rush of first-person view drone flight to the digital world. Join the biggest community for virtual FPV racing and freestyle!,$19.99,"Sep 13, 2018","Simulation,Flight,Racing,Realistic,First-Person,Sports,Multiplayer,Immersive Sim,Indie,Early Access,Crafting,Level Editor,Singleplayer,Atmospheric,Exploration,Education,3D,Modern,Parkour,Science"
Call of Duty®: Modern Warfare® 2 (2009),Activision,Infinity Ward,"The most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse.",$19.99,"Nov 12, 2009","Action,FPS,Multiplayer,Shooter,First-Person,Singleplayer,War,Military,Co-op,Online Co-Op,PvP,Great Soundtrack,Story Rich,Atmospheric,Controller,Adventure,Tactical,Linear,Strategy,Moddable"
So to Speak,Erik Andersen,Erik Andersen,"Can you learn Japanese by solving puzzles? So to Speak is a game about wandering in Japan, looking at signs, overhearing conversations, and using context clues in the environment to figure out what it all means. No background in Japanese is assumed.",$17.99,"Mar 31, 2025","Education,Puzzle,Foreign,Simulation,Exploration,Adventure,Wholesome,Cozy,Colorful,Relaxing,Logic,2D,Point & Click,Cute,Pixel Graphics,Immersive Sim,Family Friendly,Casual,Singleplayer,Indie"
BONELAB,Stress Level Zero,Stress Level Zero,"BONELAB is an experimental physics action game. Explore a mysterious lab filled with weapons, enemies, challenges and secrets. Escape your reality, or wreak havoc. No wrong answers.",$39.99,"Sep 29, 2022","VR,Physics,Sandbox,Action,Shooter,FPS,First-Person,Violent,Action-Adventure,Underground,Puzzle,Combat,Experimental,Psychological,Indie,Dark,Story Rich,Singleplayer,Female Protagonist,Atmospheric"
The Texas Chain Saw Massacre,Gun Interactive,Sumo Digital,"Take on the role of one of the notorious Slaughter family, or their victims, in The Texas Chain Saw Massacre, a third-person asymmetrical horror experience based on the groundbreaking and iconic 1974 horror film. Experience the mad and macabre for yourself in The Texas Chain Saw Massacre.",$19.99,"Aug 18, 2023","Horror,Multiplayer,Survival Horror,Team-Based,Gore,Third Person,PvP,Survival,Stealth,Action,Violent,Blood,Asynchronous Multiplayer,Cinematic,3D,Atmospheric,Indie,Psychological Horror,Strategy,Nudity"
Zort,Londer Software,Londer Software,"Zort is an action, adventure, and horror game that can be played with up to 4 people. Explore maps with your friends and have fun while escaping from various creatures. Experience a realistic horror experience with in-game voice chat with your friends!",$4.00,"Dec 7, 2024","Early Access,Horror,Online Co-Op,Co-op,Funny,Psychological Horror,First-Person,PvE,Atmospheric,Realistic,Action-Adventure,Action,Cinematic,Adventure,FPS,3D,Multiplayer,Linear,Artificial Intelligence,Team-Based"
Overcooked! All You Can Eat,Team17 Digital,Team17 Digital;Ghost Town Games,"Experience all the Onion Kingdom has to offer, Overcooked! 1 & 2 infused with 4k goodness running at a smooth 60 FPS. Fully remastered and cooked up from scratch. Enjoy 200+ levels (22 new) and 80+ chefs (3 new), this is the ultimate Overcooked! experience.",$39.99,"Mar 23, 2021","Multiplayer,Online Co-Op,Local Co-Op,Cooking,Casual,Simulation,Family Friendly,Local Multiplayer,Funny,Cute,Co-op,Controller,4 Player Local,Colorful,Strategy,Singleplayer,Co-op Campaign,PvP,Arcade,Indie"
RPG Maker MZ,Gotcha Gotcha Games,Gotcha Gotcha Games;KADOKAWA;Yoji Ojima,"You want to create an RPG, but every game making tool you have found was either too complex or too limited? RPG Maker MZ empowers you with simple tools to create your RPG right out of the box, yet is customizable enough to make the exact RPG you want!",$79.99,"Aug 27, 2020","RPG,Game Development,RPGMaker,Anime,JRPG,2D,Singleplayer,Party-Based RPG,Top-Down,Design & Illustration,Web Publishing,Software,Education,Pixel Graphics,Fantasy,Story Rich,Magic,MMORPG"
Metal Bringer,PLAYISM,ALPHAWING Inc.,"In this roguelike action-adventure, control humanoid ""Labor"" and giant ""Arms"" to uncover the mysteries of the world. Create fully-customizable robots, strengthen them, and take down hordes of enemies!",$19.99,"Mar 12, 2025","Action Roguelike,Mechs,Hack and Slash,Spectacle fighter,Dungeon Crawler,Roguelite,Character Customization,Action RPG,Action,2.5D,Isometric,Voxel,Story Rich,Sci-fi,Robots,Indie,Singleplayer,Replay Value,Collectathon,Colorful"
Aseprite,Igara Studio,David Capello,"Aseprite is a pixel-art tool to create 2D animations, sprites, and any kind of graphics for games.",$19.99,"Feb 22, 2016","Pixel Graphics,Design & Illustration,Animation & Modeling,Software,Game Development,2D,Utilities,Indie,Retro,Cute,Singleplayer"
Ballionaire,Raw Fury,newobject,"BALLIONAIRE is a fast-paced, kinetic roguelike where strategy meets physics to create outrageous wealth! Find and exploit game-breaking synergies as you theorycraft your way to victory. Welcome to the autobonker genre!",$12.34,"Dec 10, 2024","Singleplayer,2D,Casual,Roguelike,Deckbuilding,Strategy,Pinball,Idler,Roguelite,Physics,Cute,Pixel Graphics,Card Game,Card Battler,Relaxing,Turn-Based Strategy,Choices Matter,Simulation,Sandbox,Funny"
Total War: THREE KINGDOMS,SEGA;Feral Interactive (Mac);Feral Interactive (Linux),CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),"Total War: THREE KINGDOMS is the first in the award-winning series to recreate epic conflict across ancient China. Combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles, THREE KINGDOMS redefines the series in an age of heroes & legends.",$59.99,"May 23, 2019","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Military,Multiplayer,Tactical,Singleplayer,Real Time Tactics,Action,Turn-Based,Great Soundtrack,Co-op,Simulation,Sandbox,Violent,Fantasy,Destruction"
Age of Empires III: Definitive Edition,Xbox Game Studios,World's Edge;Tantalus Media;Forgotten Empires,Age of Empires III: Definitive Edition offers players a trial of this historical single & multiplayer RTS experience. *Note: To unlock all features of the game please see the “Base Game” product.,$0.00,"Oct 15, 2020","Strategy,Base Building,RTS,Multiplayer,Military,City Builder,Historical,War,Singleplayer,$0.00,Resource Management,PvP,3D,Combat,Online Co-Op,Medieval,Co-op,Moddable,Story Rich,Level Editor"
Muse Dash,hasuhasu,peropero,Paradise of parkour & rhythm game ★★★ — Muse Dash!!,$2.99,"Jun 20, 2019","Music,Rhythm,Anime,Cute,Sexual Content,Female Protagonist,Casual,Great Soundtrack,Singleplayer,2D,Colorful,Indie,Hentai,Difficult,Action,Funny,Arcade,Beautiful,Mature,Nudity"
SIGNALIS,Humble Games;PLAYISM,rose-engine,"A classic survival horror experience set in a dystopian future where humanity has uncovered a dark secret. Unravel a cosmic mystery, escape terrifying creatures, and scavenge an off-world government facility as Elster, a technician Replika searching for her lost dreams.",$19.99,"Oct 27, 2022","Survival Horror,Psychological Horror,Female Protagonist,Sci-fi,Atmospheric,Lovecraftian,Dark,Mystery,Singleplayer,Dystopian,LGBTQ+,Cyberpunk,Puzzle,Violent,Action,Adventure,Cinematic,Shooter,Action-Adventure,Third-Person Shooter"
Nuclear Option,Shockfront Studios,Shockfront Studios,"Fly near-future aircraft with immersive physics on intense battlefields, facing land, air and sea threats. Wage war against AI or other players with an array of potent weapons. Wield tactical and strategic nuclear weapons, capable of annihilating anything in their path.",$17.99,"Oct 16, 2023","Early Access,Flight,Action,Simulation,Multiplayer,Combat,Military,Sci-fi,War,Wargame,Futuristic,Jet,Stealth,Destruction,Physics,3D,Level Editor,PvP,First-Person,Realistic"
Prehistoric Kingdom,Crytivo,Blue Meridian,"Take control of limitless power in Prehistoric Kingdom to build, manage and grow the ultimate zoo for extinct animals.",$29.99,"Apr 27, 2022","Dinosaurs,Management,Simulation,Sandbox,Building,Singleplayer,Strategy,Resource Management,3D,Atmospheric,Economy,Education,Early Access,God Game,Sci-fi,Grand Strategy,Science,Indie,RTS,Adventure"
Captain of Industry,MaFi Games,MaFi Games,"Land your crew of survivors on an abandoned island and survive! Mine raw materials, grow food, build factories, manufacture products, research new tech, and trade with others. Become an industrial superpower! But this is no easy task, you will be put to the test to keep your settlement alive.",$29.99,"May 31, 2022","Base Building,Automation,Resource Management,Management,Simulation,Mining,Economy,City Builder,Colony Sim,Survival,Strategy,Realistic,Transportation,Building,Early Access,Logic,Singleplayer,Agriculture,Moddable,3D"
Going Medieval,Mythwright,Foxy Voxel,"Build and manage your own castle settlement in a land reclaimed by wilderness. With detailed management, survival strategy, and a moddable sandbox world, Going Medieval challenges you to build the mightiest colony this side of the apocalypse.",$24.99,"Jun 1, 2021","RPG,Early Access,City Builder,Colony Sim,Singleplayer,Strategy,Moddable,Simulation,Sandbox,Economy,Management,Replay Value,Procedural Generation,Survival,3D,Crafting,RTS,Base Building,Indie,Building"
dotAGE,Michele Pirovano,Michele Pirovano,"Village elder, help us! The Apocalypse is approaching, and we need your guidance to survive. Assign your workers and build a thriving village against the pending doom. DotAGE is the merciless survival roguelite turn-based city builder. Will you fulfill the Prophecy?",$17.59,"Oct 4, 2023","Resource Management,Turn-Based,Roguelite,Board Game,Tabletop,Turn-Based Strategy,City Builder,Pixel Graphics,Colony Sim,Survival,Funny,Dark Humor,Building,Difficult,Cute,Roguelike,2D,Choices Matter,Medieval,Simulation"
Iron Saga VS,Gameduchy,Gameduchy,"Take control of an assortment of superb mechs and engage in thrilling combat with other enthusiasts on the same battlefield! In addition to original mecha, well-known IPs such as ""Mazinger Z"" and “Dancouga – Super Beast Machine God” also ready for the mecha war!",$29.99,"Mar 21, 2025","Action,2D Fighter,Robots,Arcade,Mechs,Combat,Spectacle fighter,2D,Singleplayer,Multiplayer,Martial Arts,Fighting,Anime,Cartoon,Sci-fi,1980s,Old School,PvP,Local Multiplayer,Competitive"
Wayfinder,Airship Syndicate,Airship Syndicate,"Become a Wayfinder, and unlock their powers as you choose your path and playstyle while pushing back a hostile force that has overtaken your world. A Co-Op ARPG where you directly shape and customize the endless adventures you go on with friends, because Wayfinders are stronger together.",$24.99,"Oct 21, 2024","Action RPG,Online Co-Op,Loot,Dungeon Crawler,Third Person,Exploration,Action,RPG,Controller,Adventure,Party-Based RPG,Open World,Action-Adventure,Co-op,Fantasy,Singleplayer,Casual,Multiplayer,Atmospheric,Team-Based"
BIGFOOT,CyberLight Game Studio,CyberLight Game Studio,You are a Bigfoot hunter with an important mission: to put an end to rumours once and for all and prove to yourself that Bigfoot is not just a myth or an invention of the mind...,$19.99,"Jan 31, 2017","Early Access,Horror,Multiplayer,Survival Horror,Online Co-Op,Co-op,PvP,Multiple Endings,PvE,FPS,Psychological Horror,Atmospheric,Action,Funny,Adventure,Open World,Supernatural,First-Person,Singleplayer,Shooter"
Sonic Adventure 2,SEGA,SEGA,Experience two unique adventures featuring both long-time heroes and new and returning villains as they battle for the fate of the world!,$9.99,"Nov 19, 2012","Action,Great Soundtrack,3D Platformer,Platformer,Fast-Paced,Adventure,Classic,Singleplayer,Replay Value,Third Person,Local Multiplayer,Retro,Story Rich,Family Friendly,Multiplayer,3D,Split Screen,Racing,Sci-fi,Comedy"
Magical Girl Konoha,OTAKU Plan,BLACK PANDA,"To aid the King, Priestess Konoha plunges into ""Grimoire""! The world inside ""Grimoire"" is formed by another world called Grimoire Land in which Konoha becomes a magical girl, and has come to save the world!",$19.99,"Mar 7, 2025","Sexual Content,Nudity,JRPG,Open World,Adventure,Anime,Cute,RPG,Dungeon Crawler,Funny,Fantasy,Female Protagonist,Hentai,Turn-Based Combat,Multiple Endings,Singleplayer,Indie,NSFW,Mature,RPGMaker"
Way of the Hunter,THQ Nordic,Nine Rocks Games,Become the new owner of a hunting lodge nestled among gorgeous habitats and rich animal populations. Explore vast open world environments and hunt with a premium selection of firearms. Enjoy the perfect hunt on your own or with friends in co-op.,$29.99,"Aug 16, 2022","Adventure,Hunting,Shooter,Exploration,FPS,Realistic,Sports,3D,First-Person,Colorful,Nature,Relaxing,America,Open World,Stealth,Controller,Multiplayer,Simulation,Gun Customization,Singleplayer"
Total War: SHOGUN 2,SEGA;Feral Interactive (Mac);Feral Interactive (Linux),CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),Total War: SHOGUN 2 is the perfect mix of real-time and turn-based strategy gaming for newcomers and veterans alike.,$29.99,"Mar 15, 2011","Strategy,Historical,Turn-Based Strategy,RTS,Grand Strategy,Tactical,Singleplayer,Multiplayer,Real Time Tactics,Military,Diplomacy,Ninja,Co-op,Turn-Based,Medieval,Great Soundtrack,Moddable,Turn-Based Tactics,Action,Stylized"
